name,brand_slug,brand,category_slug,category,variant_label,selling_price,selling_min,wholesale_price,wholesale_min,cost_price,variant_in_stock,notes
Natraj,anil,Anil,agarbatti,Agarbatti,100 g,70,70,70,yes,
Natraj,anil,Anil,agarbatti,Agarbatti,250 g,140,140,140,yes,
Natraj,anil,Anil,agarbatti,Agarbatti,1 kg,440,440,440,yes,
Kesar Chandan,anil,Anil,agarbatti,Agarbatti,100 g,70,70,70,yes,
Kesar Chandan,anil,Anil,agarbatti,Agarbatti,250 g,140,140,140,yes,
Kesar Chandan,anil,Anil,agarbatti,Agarbatti,1 kg,440,440,440,yes,
Kashmiri Kasturi,anil,Anil,agarbatti,Agarbatti,100 g,70,70,70,yes,
Kashmiri Kasturi,anil,Anil,agarbatti,Agarbatti,250 g,140,140,140,yes,
Kashmiri Kasturi,anil,Anil,agarbatti,Agarbatti,1 kg,440,440,440,yes,
Vaishnavi,anil,Anil,agarbatti,Agarbatti,100 g,70,70,70,yes,
Vaishnavi,anil,Anil,agarbatti,Agarbatti,250 g,140,140,140,yes,
Vaishnavi,anil,Anil,agarbatti,Agarbatti,100 g,70,70,70,yes,
Suvastu,anil,Anil,agarbatti,Agarbatti,250 g,140,140,140,yes,
Kashmiri Kasturi,anil,Anil,agarbatti,Agarbatti,1 kg,440,440,440,yes,
Kashmiri Kasturi,anil,Anil,agarbatti,Agarbatti,1 kg,440,440,440,yes,
Agarbatti Chandan,zed-black,Zed Black,agarbatti,Agarbatti,250 g,100,90,85,yes,
Agarbatti Chandan,zed-black,Zed Black,agarbatti,Agarbatti,500 g,190,175,165,yes,
Rose Incense Sticks,satya,Satya,agarbatti,Agarbatti,100 g,50,45,42,yes,
Dhoop Sticks,cycle,Cycle,dhoop,Dhoop,Packet,35,30,26,yes,
Dhoop Cones Box,cycle,Cycle,dhoop,Dhoop,Box of 12,80,72,65,no,
Kapur Tablet,mangaldeep,Mangaldeep,kamphor,Kamphor,50 g,60,55,50,yes,
Kapur Tablet,mangaldeep,Mangaldeep,kamphor,Kamphor,100 g,110,100,92,yes,
Camphor Cup,zed-black,Zed Black,kamphor,Kamphor,Box of 12,70,64,58,yes,
Aarti Camphor,anil,Anil,kamphor,Kamphor,20 g,25,,20,yes,
Kumkum,,Moksh,pooja-items,Pooja Items,50 g,25,,19,yes,
Sandalwood Powder,forest,Forest,pooja-items,Pooja Items,100 g,90,80,70,yes,
Cotton Wick Long,,Local,pooja-items,Pooja Items,Packet,20,,14,no,
Til Oil,patanjali,Patanjali,pooja-items,Pooja Items,500 ml,180,165,158,yes,
Til Oil,patanjali,Patanjali,pooja-items,Pooja Items,1 L,340,315,300,yes,
Ghee Diya,,Local,pooja-items,Pooja Items,Piece,15,,10,no,
Coconut,,Local,pooja-items,Pooja Items,Piece,30,,22,yes,
Havan Samagri,janak,Janak,pooja-items,Pooja Items,250 g,70,62,55,yes,
Havan Samagri,janak,Janak,pooja-items,Pooja Items,500 g,130,118,105,yes,
Havan Samagri,janak,Janak,pooja-items,Pooja Items,1 kg,240,220,200,yes,
Puja Thali Set,,Local,pooja-items,Pooja Items,Single,150,,110,yes,
Matchbox,,,,,Packet,5,,3,yes,
